knkor,knjpn,knhira
가가와현,香川県,かがわけん
가고시마현,鹿児島県,かごしまけん
가나가와현,神奈川県,かながわけん
고치현,高知県,こうちけん
교토부,京都府,きょうとふ
구마모토현,熊本県,くまもとけん
군마현,群馬県,ぐんまけん
기후현,岐阜県,ぎふけん
나가노현,長野県,ながのけん
나가사키현,長崎県,ながさきけん
나라현,奈良県,ならけん
니가타현,新潟県,にいがたけん
도야마현,富山県,とやまけん
도치기현,栃木県,とちぎけん
도쿄도,東京都,とうきょうと
도쿠시마현,徳島県,とくしまけん
돗토리현,鳥取県,とっとりけん
미야기현,宮城県,みやぎけん
미야자키현,宮崎県,みやざきけん
미에현,三重県,みえけん
사가현,佐賀県,さがけん
사이타마현,埼玉県,さいたまけん
시가현,滋賀県,しがけん
시마네현,島根県,しまねけん
시즈오카현,静岡県,しずおかけん
아오모리현,青森県,あおもりけん
아이치현,愛知県,あいちけん
아키타현,秋田県,あきたけん
야마가타현,山形県,やまがたけん
야마구치현,山口県,やまぐちけん
야마나시현,山梨県,やまなしけん
에히메현,愛媛県,えひめけん
오사카부,大阪府,おおさかふ
오이타현,大分県,おおいたけん
오카야마현,岡山県,おかやまけん
오키나와현,沖縄県,おきなわけん
와카야마현,和歌山県,わかやまけん
이바라키현,茨城県,いばらきけん
이시카와현,石川県,いしかわけん
이와테현,岩手県,いわてけん
지바현,千葉県,ちばけん
홋카이도,北海道,ほっかいどう
효고현,兵庫県,ひょうごけん
후쿠시마현,福島県,ふくしまけん
후쿠오카현,福岡県,ふくおかけん
후쿠이현,福井県,ふくいけん
히로시마현,広島県,ひろしまけん